Time,"Crude Oil Price (Light Sweet Crude) USA  - Price
  - $/barrel"
201612,52.17
201611,45.87
201610,49.87
201609,45.23
201608,44.8
201607,44.8
201606,48.84
201605,46.8
201604,41.12
201603,37.96
201602,30.62
201601,31.78
201512,37.33
201511,42.92
201510,46.25
201509,45.47
201508,42.89
201507,50.93
201506,59.83
201505,59.37
201504,54.63
201503,47.85
201502,50.72
201501,47.33
201412,59.29
201411,75.81
201410,84.34
201409,93.03
201408,96.08
201407,102.39
201406,105.15
201405,101.79
201404,102.03
201403,100.51
201402,100.68
201401,94.86
201312,97.89
201311,93.93
201310,100.55
201309,106.23
201308,106.54
201307,104.7
201306,95.8
201305,94.8
201304,92.07
201303,92.96
201302,95.32
201301,94.83
201212,88.25
201211,86.73
201210,89.57
201209,94.56
201208,94.16
201207,87.93
201206,82.41
201205,94.72
201204,103.35
201203,106.2
201202,102.26
201201,100.32
201112,98.58
201111,97.16
201110,86.43
201109,85.61
201108,86.34
201107,97.34
201106,96.29
201105,101.36
201104,110.04
201103,102.98
201102,89.74
201101,89.58
201012,89.23
201011,84.31
201010,81.95
201009,75.55
201008,76.67
201007,76.38
201006,75.4
201005,74.12
201004,84.58
201003,81.29
201002,76.45
201001,78.4
200912,74.6
200911,78.15
200910,75.82
200909,69.47
200908,71.14
200907,64.29
200906,69.7
200905,59.21
200904,49.95
200903,48.06
200902,39.26
200901,41.92
200812,42.04
200811,57.44
200810,76.72
200809,103.76
200808,116.69
200807,133.48
200806,134.02
200805,125.46
200804,112.46
200803,105.42
200802,95.35
200801,92.93
200712,91.74
200711,94.63
200710,85.66
200709,79.63
200708,72.36
200707,74.15
200706,67.53
200705,63.53
200704,64.04
200703,60.74
200702,59.39
200701,54.35
200612,62.09
200611,59.4
200610,59.14
200609,63.9
200608,73.08
200607,74.46
200606,70.97
200605,70.96
200604,70.16
200603,62.97
200602,61.93
200601,65.54
200512,59.45
200511,58.34
200510,62.27
200509,65.55
200508,64.99
200507,59.03
200506,56.42
200505,49.87
200504,53.22
200503,54.63
200502,48.05
200501,46.85
200412,43.26
200411,48.48
200410,53.09
200409,45.94
200408,44.88
200407,40.81
200406,38.05
200405,40.28
200404,36.62
200403,36.72
200402,34.5
200401,34.22
200312,32.14
200311,31.06
200310,30.35
200309,28.31
200308,31.6
200307,30.7
200306,30.52
200305,28.07
200304,28.14
200303,33.16
200302,35.73
200301,32.7
200212,29.39
200211,26.19
200210,28.86
200209,29.67
200208,28.2
200207,26.94
200206,25.55
200205,26.95
200204,26.26
200203,24.44
200202,20.76
200201,19.73
200112,19.4
200111,19.67
200110,22.21
200109,25.83
200108,27.31
200107,26.47
200106,27.58
200105,28.68
200104,27.62
200103,27.27
200102,29.64
200101,29.26
200012,28.4
200011,34.26
200010,32.93
200009,33.87
200008,31.14
200007,29.72
200006,31.53
200005,28.81
200004,25.54
200003,29.89
200002,29.3
200001,27.01
199912,26.09
199911,24.77
199910,22.67
199909,23.79
199908,21.28
199907,20.1
199906,17.92
199905,17.77
199904,17.3
199903,14.68
199902,12.02
199901,12.49
199812,11.31
199811,13.04
199810,14.42
199809,14.97
199808,13.38
199807,14.09
199806,13.67
199805,14.93
199804,15.46
199803,15.04
199802,16.08
199801,16.73
199712,18.32
199711,20.22
199710,21.28
199709,19.78
199708,19.95
199707,19.66
199706,19.22
199705,20.87
199704,19.73
199703,20.97
199702,22.17
199701,25.18
199612,25.12
199611,23.55
199610,24.9
199609,23.93
199608,21.91
199607,21.25
199606,20.43
199605,21.09
199604,23.3
199603,21.18
199602,18.78
199601,18.77
199512,19.04
199511,18
199510,17.4
199509,18.21
199508,17.81
199507,17.26
199506,18.4
199505,19.74
199504,19.89
199503,18.55
199502,18.53
199501,17.99
199412,17.16
199411,18.1
199410,17.71
199409,17.47
199408,18.38
199407,19.66
199406,19.07
199405,17.83
199404,16.33
199403,14.65
199402,14.78
199401,15.02
199312,14.53
199311,16.74
199310,18.17
199309,17.52
199308,18.01
199307,17.9
199306,19.13
199305,19.98
199304,20.33
199303,20.35
199302,20.08
199301,19.07
199212,19.41
199211,20.36
199210,21.71
199209,21.92
199208,21.29
199207,21.74
199206,22.36
199205,21
199204,20.26
199203,18.95
199202,19.01
199201,18.82
199112,19.53
199111,22.43
199110,23.23
199109,21.86
199108,21.68
199107,21.43
199106,20.2
199105,21.25
199104,20.82
199103,19.88
199102,20.54
199101,24.7
199012,27.16
199011,32.3
199010,35.92
199009,33.69
199008,27.18
199007,18.64
199006,16.86
199005,18.46
199004,18.58
199003,20.41
199002,22.11
199001,22.64
