Time,"CPI All Urban Consumers - Seasonally Unadjusted USA All items  - Non Adj. CPI
  - CPI"
201612,241.43
201611,241.35
201610,241.73
201609,241.43
201608,240.85
201607,240.63
201606,241.02
201605,240.23
201604,239.26
201603,238.13
201602,237.11
201601,236.92
201512,236.53
201511,237.34
201510,237.84
201509,237.95
201508,238.32
201507,238.65
201506,238.64
201505,237.81
201504,236.6
201503,236.12
201502,234.72
201501,233.71
201412,234.81
201411,236.15
201410,237.43
201409,238.03
201408,237.85
201407,238.25
201406,238.34
201405,237.9
201404,237.07
201403,236.29
201402,234.78
201401,233.92
201312,233.05
201311,233.07
201310,233.55
201309,234.15
201308,233.88
201307,233.6
201306,233.5
201305,232.95
201304,232.53
201303,232.77
201302,232.17
201301,230.28
201212,229.6
201211,230.22
201210,231.32
201209,231.41
201208,230.38
201207,229.1
201206,229.48
201205,229.82
201204,230.09
201203,229.39
201202,227.66
201201,226.67
201112,225.67
201111,226.23
201110,226.42
201109,226.89
201108,226.55
201107,225.92
201106,225.72
201105,225.96
201104,224.91
201103,223.47
201102,221.31
201101,220.22
201012,219.18
201011,218.8
201010,218.71
201009,218.44
201008,218.31
201007,218.01
201006,217.97
201005,218.18
201004,218.01
201003,217.63
201002,216.74
201001,216.69
200912,215.95
200911,216.33
200910,216.18
200909,215.97
200908,215.83
200907,215.35
200906,215.69
200905,213.86
200904,213.24
200903,212.71
200902,212.19
200901,211.14
200812,210.23
200811,212.43
200810,216.57
200809,218.78
200808,219.09
200807,219.96
200806,218.82
200805,216.63
200804,214.82
200803,213.53
200802,211.69
200801,211.08
200712,210.04
200711,210.18
200710,208.94
200709,208.49
200708,207.92
200707,208.3
200706,208.35
200705,207.95
200704,206.69
200703,205.35
200702,203.5
200701,202.42
200612,201.8
200611,201.5
200610,201.8
200609,202.9
200608,203.9
200607,203.5
200606,202.9
200605,202.5
200604,201.5
200603,199.8
200602,198.7
200601,198.3
200512,196.8
200511,197.6
200510,199.2
200509,198.8
200508,196.4
200507,195.4
200506,194.5
200505,194.4
200504,194.6
200503,193.3
200502,191.8
200501,190.7
200412,190.3
200411,191
200410,190.9
200409,189.9
200408,189.5
200407,189.4
200406,189.7
200405,189.1
200404,188
200403,187.4
200402,186.2
200401,185.2
200312,184.3
200311,184.5
200310,185
200309,185.2
200308,184.6
200307,183.9
200306,183.7
200305,183.5
200304,183.8
200303,184.2
200302,183.1
200301,181.7
200212,180.9
200211,181.3
200210,181.3
200209,181
200208,180.7
200207,180.1
200206,179.9
200205,179.8
200204,179.8
200203,178.8
200202,177.8
200201,177.1
200112,176.7
200111,177.4
200110,177.7
200109,178.3
200108,177.5
200107,177.5
200106,178
200105,177.7
200104,176.9
200103,176.2
200102,175.8
200101,175.1
200012,174
200011,174.1
200010,174
200009,173.7
200008,172.8
200007,172.8
200006,172.4
200005,171.5
200004,171.3
200003,171.2
200002,169.8
200001,168.8
199912,168.3
199911,168.3
199910,168.2
199909,167.9
199908,167.1
199907,166.7
199906,166.2
199905,166.2
199904,166.2
199903,165
199902,164.5
199901,164.3
199812,163.9
199811,164
199810,164
199809,163.6
199808,163.4
199807,163.2
199806,163
199805,162.8
199804,162.5
199803,162.2
199802,161.9
199801,161.6
199712,161.3
199711,161.5
199710,161.6
199709,161.2
199708,160.8
199707,160.5
199706,160.3
199705,160.1
199704,160.2
199703,160
199702,159.6
199701,159.1
199612,158.6
199611,158.6
199610,158.3
199609,157.8
199608,157.3
199607,157
199606,156.7
199605,156.6
199604,156.3
199603,155.7
199602,154.9
199601,154.4
199512,153.5
199511,153.6
199510,153.7
199509,153.2
199508,152.9
199507,152.5
199506,152.5
199505,152.2
199504,151.9
199503,151.4
199502,150.9
199501,150.3
199412,149.7
199411,149.7
199410,149.5
199409,149.4
199408,149
199407,148.4
199406,148
199405,147.5
199404,147.4
199403,147.2
199402,146.7
199401,146.2
199312,145.8
199311,145.8
199310,145.7
199309,145.1
199308,144.8
199307,144.4
199306,144.4
199305,144.2
199304,144
199303,143.6
199302,143.1
199301,142.6
199212,141.9
199211,142
199210,141.8
199209,141.3
199208,140.9
199207,140.5
199206,140.2
199205,139.7
199204,139.5
199203,139.3
199202,138.6
199201,138.1
199112,137.9
199111,137.8
199110,137.4
199109,137.2
199108,136.6
199107,136.2
199106,136
199105,135.6
199104,135.2
199103,135
199102,134.8
199101,134.6
199012,133.8
199011,133.8
199010,133.5
199009,132.7
199008,131.6
199007,130.4
199006,129.9
199005,129.2
199004,128.9
199003,128.7
199002,128
199001,127.4
