Time,Federal Funds Effective Rate USA  - %
201612,0.54
201611,0.41
201610,0.4
201609,0.4
201608,0.4
201607,0.39
201606,0.38
201605,0.37
201604,0.37
201603,0.36
201602,0.38
201601,0.34
201512,0.24
201511,0.12
201510,0.12
201509,0.14
201508,0.14
201507,0.13
201506,0.13
201505,0.12
201504,0.12
201503,0.11
201502,0.11
201501,0.11
201412,0.12
201411,0.09
201410,0.09
201409,0.09
201408,0.09
201407,0.09
201406,0.1
201405,0.09
201404,0.09
201403,0.08
201402,0.07
201401,0.07
201312,0.09
201311,0.08
201310,0.09
201309,0.08
201308,0.08
201307,0.09
201306,0.09
201305,0.11
201304,0.15
201303,0.14
201302,0.15
201301,0.14
201212,0.16
201211,0.16
201210,0.16
201209,0.14
201208,0.13
201207,0.16
201206,0.16
201205,0.16
201204,0.14
201203,0.13
201202,0.1
201201,0.08
201112,0.07
201111,0.08
201110,0.07
201109,0.08
201108,0.1
201107,0.07
201106,0.09
201105,0.09
201104,0.1
201103,0.14
201102,0.16
201101,0.17
201012,0.18
201011,0.19
201010,0.19
201009,0.19
201008,0.19
201007,0.18
201006,0.18
201005,0.2
201004,0.2
201003,0.16
201002,0.13
201001,0.11
200912,0.12
200911,0.12
200910,0.12
200909,0.15
200908,0.16
200907,0.16
200906,0.21
200905,0.18
200904,0.15
200903,0.18
200902,0.22
200901,0.15
200812,0.16
200811,0.39
200810,0.97
200809,1.81
200808,2
200807,2.01
200806,2
200805,1.98
200804,2.28
200803,2.61
200802,2.98
200801,3.94
200712,4.24
200711,4.49
200710,4.76
200709,4.94
200708,5.02
200707,5.26
200706,5.25
200705,5.25
200704,5.25
200703,5.26
200702,5.26
200701,5.25
200612,5.24
200611,5.25
200610,5.25
200609,5.25
200608,5.25
200607,5.24
200606,4.99
200605,4.94
200604,4.79
200603,4.59
200602,4.49
200601,4.29
200512,4.16
200511,4
200510,3.78
200509,3.62
200508,3.5
200507,3.26
200506,3.04
200505,3
200504,2.79
200503,2.63
200502,2.5
200501,2.28
200412,2.16
200411,1.93
200410,1.76
200409,1.61
200408,1.43
200407,1.26
200406,1.03
200405,1
200404,1
200403,1
200402,1.01
200401,1
200312,0.98
200311,1
200310,1.01
200309,1.01
200308,1.03
200307,1.01
200306,1.22
200305,1.26
200304,1.26
200303,1.25
200302,1.26
200301,1.24
200212,1.24
200211,1.34
200210,1.75
200209,1.75
200208,1.74
200207,1.73
200206,1.75
200205,1.75
200204,1.75
200203,1.73
200202,1.74
200201,1.73
200112,1.82
200111,2.09
200110,2.49
200109,3.07
200108,3.65
200107,3.77
200106,3.97
200105,4.21
200104,4.8
200103,5.31
200102,5.49
200101,5.98
200012,6.4
200011,6.51
200010,6.51
200009,6.52
200008,6.5
200007,6.54
200006,6.53
200005,6.27
200004,6.02
200003,5.85
200002,5.73
200001,5.45
199912,5.3
199911,5.42
199910,5.2
199909,5.22
199908,5.07
199907,4.99
199906,4.76
199905,4.74
199904,4.74
199903,4.81
199902,4.76
199901,4.63
199812,4.68
199811,4.83
199810,5.07
199809,5.51
199808,5.55
199807,5.54
199806,5.56
199805,5.49
199804,5.45
199803,5.49
199802,5.51
199801,5.56
199712,5.5
199711,5.52
199710,5.5
199709,5.54
199708,5.54
199707,5.52
199706,5.56
199705,5.5
199704,5.51
199703,5.39
199702,5.19
199701,5.25
199612,5.29
199611,5.31
199610,5.24
199609,5.3
199608,5.22
199607,5.4
199606,5.27
199605,5.24
199604,5.22
199603,5.31
199602,5.22
199601,5.56
199512,5.6
199511,5.8
199510,5.76
199509,5.8
199508,5.74
199507,5.85
199506,6
199505,6.01
199504,6.05
199503,5.98
199502,5.92
199501,5.53
199412,5.45
199411,5.29
199410,4.76
199409,4.73
199408,4.47
199407,4.26
199406,4.25
199405,4.01
199404,3.56
199403,3.34
199402,3.25
199401,3.05
199312,2.96
199311,3.02
199310,2.99
199309,3.09
199308,3.03
199307,3.06
199306,3.04
199305,3
199304,2.96
199303,3.07
199302,3.03
199301,3.02
199212,2.92
199211,3.09
199210,3.1
199209,3.22
199208,3.3
199207,3.25
199206,3.76
199205,3.82
199204,3.73
199203,3.98
199202,4.06
199201,4.03
199112,4.43
199111,4.81
199110,5.21
199109,5.45
199108,5.66
199107,5.82
199106,5.9
199105,5.78
199104,5.91
199103,6.12
199102,6.25
199101,6.91
199012,7.31
199011,7.81
199010,8.11
199009,8.2
199008,8.13
199007,8.15
199006,8.29
199005,8.18
199004,8.26
199003,8.28
199002,8.24
199001,8.23
